 2016-02-26 08:47:11,567 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-02-26 08:47:11,582 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 13ms)
 2016-02-26 08:47:13,098 [P4832/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-26 08:47:13,395 [P4832/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-26 08:47:13,395 [P4832/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-26 08:47:13,426 [P4832/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-02-26 08:47:13,426 [P4832/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-02-26 08:47:13,504 [P4832/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-02-26 08:47:13,551 [P4832/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2708ms)
 2016-02-26 08:47:15,848 [P4832/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50088/umbraco (UmbracoModule request)
 2016-02-26 08:47:16,582 [P4832/D2/T7] INFO  umbraco.content - Load Xml from file...
 2016-02-26 08:47:16,582 [P4832/D2/T7] INFO  umbraco.content - Loaded Xml from file.
 2016-02-26 08:47:17,676 [P4832/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-02-26 08:47:17,707 [P4832/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 41ms)
 2016-02-26 08:47:26,379 [P4832/D2/T13] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
